CHR	POS	DESCRIPTION
1	28833900	False Positive
1	28835100	False Positive
1	53501400	Probably False Positive
1	86398800	Probably False Positive
1	91515200	False Positive
1	91852900	False Positive
1	153330800	False Positive
1	153333100	False Positive
1	153333200	False Positive
1	153333300	False Positive
1	153333400	False Positive
1	153333500	False Positive
1	153362900	False Positive
1	178512000	Probably False Positive
1	178620900	Probably False Positive
1	249165600	Probably False Positive
1	249165700	Probably False Positive
2	20729400	Probably False Positive
2	39281300	Probably False Positive
2	39281400	Probably False Positive
2	39281500	Probably False Positive
2	39281600	Probably False Positive
2	89156700	Ig Gene Rearrangement
2	89156800	Ig Gene Rearrangement
2	89157000	Ig Gene Rearrangement
2	89157100	Ig Gene Rearrangement
2	89160800	Ig Gene Rearrangement
2	89160900	Ig Gene Rearrangement
2	89384800	Ig Gene Rearrangement
2	89442100	Ig Gene Rearrangement
2	89442200	Ig Gene Rearrangement
2	89442300	Ig Gene Rearrangement
2	89442400	Ig Gene Rearrangement
2	89442500	Ig Gene Rearrangement
2	89442700	Ig Gene Rearrangement
2	90154100	Ig Gene Rearrangement
2	133012700	False Positive
2	133013100	False Positive
2	170933900	False Positive
2	191763300	False Positive
2	225796300	Probably False Positive
3	17550000	False Positive
3	40503500	Probably False Positive
3	40503600	False Positive
3	46477700	False Positive
3	56765500	Probably False Positive
3	56765600	Probably False Positive
3	56765900	Probably False Positive
3	106161000	False Positive
3	128887800	Probably False Positive
3	157920900	Probably False Positive
3	160232900	False Positive
4	86497500	False Positive
4	177433800	Probably False Positive
5	25909700	False Positive
5	60241200	Probably False Positive
5	74069700	False Positive
5	96518600	Probably False Positive
5	96767500	Probably False Positive
5	115639200	Probably False Positive
5	115781900	Probably False Positive
6	118344000	Probably False Positive
6	143158100	Probably False Positive
6	143267100	Probably False Positive
6	170871100	Probably False Positive
7	97810300	False Positive
7	129362100	False Positive
7	142326800	TCR Gene Rearrangement
7	142334200	TCR Gene Rearrangement
7	142334600	TCR Gene Rearrangement
7	142334700	TCR Gene Rearrangement
7	142498700	TCR Gene Rearrangement
7	142498800	TCR Gene Rearrangement
7	142499100	TCR Gene Rearrangement
7	147539100	Probably False Positive
7	147539500	Probably False Positive
7	147539600	Probably False Positive
8	68852600	Probably False Positive
8	70602300	False Positive
9	35657700	False Positive
9	35657800	False Positive
9	35657900	False Positive
9	90760100	Probably False Positive
9	99169900	False Positive
9	99170100	False Positive
9	100675400	Probably False Positive
10	70864200	False Positive
11	47378300	Probably False Positive
11	62609100	False Positive
11	65272400	False Positive
12	6619400	False Positive
12	11324000	Probably False Positive
12	11652900	Probably False Positive
12	20704400	False Positive
12	46781600	Probably False Positive
12	47046200	Probably False Positive
12	66935600	Probably False Positive
12	67462900	Probably False Positive
12	69747600	False Positive
12	69747700	False Positive
12	133084700	Probably False Positive
12	133331600	Probably False Positive
13	42040400	Probably False Positive
14	20811200	False Positive
14	20811300	False Positive
14	20811400	False Positive
14	20811500	False Positive
14	22409700	TCR Gene Rearrangement
14	22466300	TCR Gene Rearrangement
14	23016500	TCR Gene Rearrangement
14	106111000	Ig Gene Rearrangement
14	106174800	False Positive
14	106209100	Ig Gene Rearrangement
14	106209300	Ig Gene Rearrangement
14	106209400	Ig Gene Rearrangement
14	106311700	Ig Gene Rearrangement
14	106311800	Ig Gene Rearrangement
14	106311900	Ig Gene Rearrangement
14	106312000	Ig Gene Rearrangement
14	106321800	Ig Gene Rearrangement
14	106321900	Ig Gene Rearrangement
14	106322000	Ig Gene Rearrangement
14	106322100	Ig Gene Rearrangement
14	106322200	Ig Gene Rearrangement
14	106322300	Ig Gene Rearrangement
14	106329200	Ig Gene Rearrangement
14	106330000	Ig Gene Rearrangement
14	106330300	Ig Gene Rearrangement
14	106330400	Ig Gene Rearrangement
14	106330600	Ig Gene Rearrangement
14	106330700	Ig Gene Rearrangement
14	106370600	Ig Gene Rearrangement
14	106370700	Ig Gene Rearrangement
14	106380400	Ig Gene Rearrangement
14	106452700	Ig Gene Rearrangement
14	106586100	Ig Gene Rearrangement
14	106586200	Ig Gene Rearrangement
14	106586300	Ig Gene Rearrangement
14	106691800	Ig Gene Rearrangement
14	106692100	Ig Gene Rearrangement
14	106829600	Ig Gene Rearrangement
14	106829800	Ig Gene Rearrangement
14	106830000	Ig Gene Rearrangement
14	106877600	Ig Gene Rearrangement
14	106877700	Ig Gene Rearrangement
14	107034700	Ig Gene Rearrangement
14	107083400	Ig Gene Rearrangement
14	107170000	Ig Gene Rearrangement
14	107170100	Ig Gene Rearrangement
14	107170300	Ig Gene Rearrangement
15	26890600	False Positive
15	26890700	False Positive
15	45003700	False Positive
15	45009800	False Positive
15	45010200	False Positive
19	16187400	Probably False Positive
19	16437700	Probably False Positive
