Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000233440	ENST00000418454	HMGA1P6	13	23708313	23708703
ENSG00000235205	ENST00000452855	TATDN2P3	13	23817659	23821323
ENSG00000236803	ENST00000418445	SDAD1P4	13	23841645	23843289
ENSG00000232163	ENST00000434567	RPLP1P13	13	23947562	23948200
ENSG00000235784	ENST00000426409	HNRNPA1P29	13	94047230	94048108
ENSG00000232102	ENST00000457365	MTCO3P2	13	24340073	24340243
ENSG00000235768	ENST00000299197	BRD7P5	13	95409705	95411526
ENSG00000237924	ENST00000434403	RPL21P112	13	95412807	95413269
ENSG00000196593	ENST00000442969	ANKRD20A19P	13	24513696	24520921
ENSG00000196593	ENST00000420143	ANKRD20A19P	13	24513696	24520921
ENSG00000196593	ENST00000602724	ANKRD20A19P	13	24513696	24520921
ENSG00000271492	ENST00000604810	MEMO1P5	13	96046303	96046708
ENSG00000225674	ENST00000451446	IPO7P2	13	24696204	24697953
ENSG00000229622	ENST00000442927	MTND5P2	13	96344792	96346226
ENSG00000227714	ENST00000439477	MTND6P18	13	96346237	96346749
ENSG00000232373	ENST00000445588	MTCYBP3	13	96346823	96347959
ENSG00000234627	ENST00000423502	NUS1P3	13	24902349	24903210
ENSG00000234627	ENST00000540358	NUS1P3	13	24902349	24903210
ENSG00000226977	ENST00000412282	HMGN1P24	13	96461564	96461861
ENSG00000233545	ENST00000414485	CYCSP33	13	24974841	24975167
ENSG00000233273	ENST00000415152	AMMECR1LP1	13	97225913	97226753
ENSG00000205822	ENST00000445572	TPTE2P6	13	24982295	25171814
ENSG00000205822	ENST00000440905	TPTE2P6	13	24982295	25171814
ENSG00000205822	ENST00000450973	TPTE2P6	13	24982295	25171814
ENSG00000235137	ENST00000426420	HSP90AB6P	13	97536096	97542067
ENSG00000235137	ENST00000442053	HSP90AB6P	13	97536096	97542067
ENSG00000244615	ENST00000455130	PSPC1P2	13	25140981	25144866
ENSG00000234267	ENST00000453253	TULP3P1	13	97599891	97601181
ENSG00000225404	ENST00000431005	RPL26P34	13	25278476	25278926
ENSG00000231417	ENST00000438849	IRX1P1	13	25316815	25320322
ENSG00000271625	ENST00000603247	PSMA6P4	13	98127996	98128713
ENSG00000226695	ENST00000457591	ANKRD20A10P	13	25324795	25326309
ENSG00000233291	ENST00000443410	RPL7AP61	13	98553907	98554542
ENSG00000253771	ENST00000434100	TPTE2P1	13	25498815	25542625
ENSG00000253771	ENST00000429698	TPTE2P1	13	25498815	25542625
ENSG00000253771	ENST00000435256	TPTE2P1	13	25498815	25542625
ENSG00000253771	ENST00000381871	TPTE2P1	13	25498815	25542625
